ASC_Name,Provider_ID,NPI,City,State,Zip_Code,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_8_Rate,ASC_8_Footnote,ASC_9_Rate,ASC_9_Footnote,ASC_10_Rate,ASC_10_Footnote,ASC_11_Rate,ASC_11_Footnote,ASC_12_Total_Cases,ASC_12_Performance_Category,ASC_12_RSHV_Rate,ASC_12_Interval_Lower_Limit,ASC_12_Interval_Upper_Limit,ASC_12_Footnote
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH FREEWAY DBA MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,45C0001363,1003127606,HOUSTON,TX,77018,0,,0,,0,,0,,96,,92.5,,85.45,,N/A,5,185,No Different than the National Rate,14.6,10,21.6,
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627,1.626,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AMBULATORY SURGERY CENTER OF KILLEEN,45C0001569,1003166844,KILLEEN,TX,76542,0,,0,,0,,0,,93.33,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GREATER NEW BEDFORD SURGERY CENTER,22C0001007,1003168907,DARTMOUTH,MA,2747,0.685,,0,,0,,0,,53.49,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MIDWEST SURGERY CENTER LLC,26C0001147,1003171745,CAPE GIRARDEAU,MO,63703,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202,0,,0,,0,,1.767,,76.54,,92.5,,75.44,,N/A,5,1292,No Different than the National Rate,13.6,10.1,18.1,
NORTHWEST ENDO CENTER,14C0001168,1003260498,ARLINGTON HEIGHTS,IL,60005,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,141,No Different than the National Rate,12.2,8.4,18.1,
PAIN CENTERS OF MINNESOTA CHASKA LLC,24C0001090,1003272980,CHASKA,MN,55318,0,,0,,0,,0,,64.29,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GREAT LAKES SURGERY CTR LLC,23C0001131,1003273129,ST JOSEPH,MI,49085,0,,0,,0,,0,,84.21,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CENTER FOR SOUTHSIDE SURGERY LLC,15C0001199,1003292483,GREENWOOD,IN,46143,0,,0,,0,,1.689,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF MIDWEST CITY LLC,37C0001012,1003800798,MIDWEST CITY,OK,73110,0,,0,,0,,0,,86.44,,96.83,,87.3,,N/A,5,75,No Different than the National Rate,11.8,8.1,17,
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308,0,,0,,0,,0,,64.29,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
LAKEVIEW SURGERY CENTER,16C0001014,1003807835,WEST DES MOINES,IA,50266,0.89,,0.89,,0.89,,0,,95.71,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792,0,,0,,0,,0,,94.31,,97.33,,100,,N/A,5,283,No Different than the National Rate,13.8,9.6,19.6,
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,0,,0.204,,0,,0.817,,56.43,,100,,100,,N/A,5,1607,No Different than the National Rate,13.6,10.4,17.9,
SAGAMORE SURGICAL SERVICES,15C0001041,1003816307,LAFAYETTE,IN,47909,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SUMMIT SURGERY CENTER LLC,19C0001097,1003842527,COVINGTON,LA,70433,0.897,,0.897,,0,,0,,89.29,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,7047,0,,0,,0,,1.781,,82.05,,75.58,,44.44,,N/A,5,440,No Different than the National Rate,13.4,9.6,18.7,
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411,0.728,,0,,0,,0,,42.59,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910,0,,0,,0,,0,,92.31,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906,0,,0,,0,,0,,57.14,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PIEDMONT ENDOSCOPY CENTER INC,34C0001028,1003858721,WINSTON SALEM,NC,27103,N/A,5,N/A,5,N/A,5,N/A,5,80,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF PINEHURST LLC,34C0001114,1003860917,PINEHURST,NC,28374,0,,0,,0,,1.663,,98.9,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC,44C0001060,1003861998,CHATTANOOGA,TN,37412,0,,0,,0,,1.38,,68.09,,29.73,,42.86,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,10C0001250,1003870825,SAINT PETERSBURG,FL,33703,0,,0,,0,,5.445,,50.59,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MEMPHIS SURGERY CENTER LTD LP,44C0001004,1003871104,MEMPHIS,TN,38119,0,,0,,0,,0,,83.87,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WILDCREEK SURGERY CENTER,29C0001035,1003875873,SPARKS,NV,89431,0,,0,,0,,0,,69.7,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CENTRAL TEXAS ENDOSCOPY CENTER LLC,45C0001265,1003887225,BRYAN,TX,77802,0,,0,,0,,1.318,,93.06,,96.59,,78.57,,N/A,5,880,No Different than the National Rate,13.6,10,18.5,
AUSTIN ENDOSCOPY CENTER II LP,45C0001295,1003887845,AUSTIN,TX,78745,0,,0,,0,,0,,93.33,,89.58,,100,,N/A,5,1531,No Different than the National Rate,11.6,8.6,15.9,
LOUISVILLE ENDOSCOPY CENTER PLLC,18C0001029,1003888595,LOUISVILLE,KY,40217,0,,0,,0,,0.656,,71.7,,85.08,,87.2,,N/A,5,822,No Different than the National Rate,11.1,7.8,15.3,
DIGESTIVE ENDOSCOPY CENTER LLC,36C0001084,1003888710,KETTERING,OH,45429,0,,0,,0,,2.125,,84.27,,87.04,,91.53,,N/A,5,624,No Different than the National Rate,12.4,8.9,17.3,
ENDOSCOPY GROUP LLC,10C0001252,1003889346,PENSACOLA,FL,32503,0.216,,0.216,,0,,0.432,,72.57,,N/A,5,N/A,5,N/A,5,2071,No Different than the National Rate,11,8.4,14.4,
THE WALDORF ENDOSCOPY ASC LLC,21C0001062,1003889379,WALDORF,MD,20603,0,,0,,0,,0.551,,68.75,,N/A,5,N/A,5,N/A,5,1064,No Different than the National Rate,12.8,9.4,17.5,
COMMUNITY SURGERY CENTER NORTHWEST,15C0001034,1003897448,INDIANAPOLIS,IN,46260,0,,0,,0,,3.559,,97.33,,60,,83.64,,N/A,5,88,No Different than the National Rate,12.2,8.3,17.7,
MEMORIAL ENDOSCOPY CENTER LP,45C0001325,1003899055,HOUSTON,TX,77055,N/A,5,N/A,5,N/A,5,N/A,5,84.44,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OREGON TRAIL EYE SURGERY CENTER INC,28C0001036,1003909789,SCOTTSBLUFF,NE,69361,N/A,5,N/A,5,N/A,5,N/A,5,81.82,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MIFFLIN COUNTY COMMUNITY SURGICAL CENTER PC,39C0001072,1003935354,LEWISTOWN,PA,17044,0,,0,,0,,0,,33.33,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VAIL VALLEY SURGERY CENTER LLC,06C0001074,1003944125,VAIL,CO,81657,0,,5.076,,0,,5.076,,99.47,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PACIFIC HEIGHTS SURGERY CENTER LP,05C0001661,1003965328,SAN FRANCISCO,CA,94115,0,,0,,0,,0,,74.57,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE ORTHOPAEDIC SURGERY CENTER LLC,52C0001074,1003976929,PEWAUKEE,WI,53072,0,,0,,0,,1.004,,76.54,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PIEDMONT EYE,11C0001203,1003993965,ATLANTA,GA,30327,0,,0,,0,,0,,83.67,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BAY AREA ENDOSCOPY AND SURGERY CENTER LP,10C0001196,1013011162,ST PETERSBURG,FL,33709,2.114,,0,,0,,0,,28.57,,84.03,,0,,N/A,5,166,No Different than the National Rate,11.8,8,17.1,
PHOENIX EYE SURGICAL CENTER PLC,03C0001023,1013021682,PHOENIX,AZ,85012,0,,0,,0,,0,,68.97,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GASTROENTEROLOGY DIAGNOSTIC CENTER MEDICAL GROUP,05C0001186,1013048461,MONTEREY PARK,CA,91754,0,,0,,0,,0,,64.29,,77.65,,58.17,,N/A,5,161,No Different than the National Rate,12.8,8.8,18.6,
RENAISSANCE SURGERY CENTER LLC,05C0001702,1013068642,PALM DESERT,CA,92260,0,,0,,0,,0,,78.43,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
RENAISSANCE SURGERY CENTER LLC,05C0001813,1013068642,FRESNO,CA,93720,0,,0,,0,,0,,78.43,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLEARER VISION LLC,44C0001108,1013096700,COOKEVILLE,TN,38501,0,,0,,0,,0,,87.5,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TRACY SURGERY CENTER LLC,05C0001859,1013104389,TRACY,CA,95377,0,,0,,0,,0,,89.83,,98.41,,100,,N/A,5,115,No Different than the National Rate,12.1,8.4,17.7,
BAYSPINE SURGERY CENTER LLC,05C0001825,1013116748,RICHMOND,CA,94806,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTH JERSEY MUSCULOSKELETAL INSTITUTE LLC,31C0001233,1013136456,SEWELL,NJ,8080,0,,0,,0,,0.579,,88.89,,90.32,,89.58,,N/A,5,291,No Different than the National Rate,12,8.3,17.4,
GATEWAY ASC,50C0001272,1013138536,EVERETT,WA,98201,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HARRISON ENDO SURGICAL CENTER LLC,31C0001262,1013143007,HARRISON,NJ,7029,0,,0,,0,,0,,80.49,,87.1,,76.83,,N/A,5,133,No Different than the National Rate,12.5,8.5,18,
WEST SIDE SURGERY CENTER,11C0001335,1013158948,DOUGLAS,GA,31533,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GREENBELT ENDOSCOPY CENTER LLC,21C0001212,1013170521,LANHAM,MD,20706,N/A,5,N/A,5,N/A,5,N/A,5,65.71,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
DESERT MIRAGE SURGERY CENTER,03C0001317,1013195569,SURPRISE,AZ,85378,0,,0,,0,,1.295,,81.48,,83.13,,87.14,,N/A,5,51,No Different than the National Rate,12.5,8.5,18.1,
NORTH COLUMBUS SURGERY CENTER LLC,11C0001368,1013212927,COLUMBUS,GA,31909,0,,0,,0,,0,,47.06,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CARLIN VISION SURGERY CENTER LLC,11C0001356,1013222926,SNELLVILLE,GA,30078,0,,0,,0,,0,,87.1,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TUSCAN SURGERY CENTER AT LAS COLINAS LLC,45C0001384,1013227248,IRVING,TX,75039,0,,0,,0,,1.122,,95.56,,92.71,,88.89,,N/A,5,564,No Different than the National Rate,12.7,9,18,
SOMA SURGERY CENTER,05C0002015,1013275965,BEVERLY HILLS,CA,90211,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MATTHEWS SURGERY CENTER LLC,34C0001180,1013298926,MATTHEWS,NC,28105,0,,0,,0,,0,,94.07,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MELBOURNE SURGERY CENTER LLC,10C0001228,1013309459,MELBOURNE,FL,32901,0,,0,,0,,0,,86.36,,N/A,5,N/A,5,98.97,,N/A,N/A,N/A,N/A,N/A,5
CENTER FOR PAIN AND SPINE LLC,11C0001430,1013341734,NEWNAN,GA,30265,N/A,5,N/A,5,N/A,5,N/A,5,96.15,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GI WELLNESS CENTER OF FREDERICK LLC,,1013372986,FREDERICK,MD,21702,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ROCKFORD DIGESTIVE HEALTH ENDOSCOPY CENTER,34C0001194,1013377290,MOUNT AIRY,NC,27030,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
INTERVENTIONAL PAIN CENTER PLLC,23C0001130,1013385046,WARREN,MI,48093,0.581,,0,,0,,0.29,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTH PINES SURGERY CENTER LLC,45C0001597,1013392042,CONROE,TX,77304,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ROANOKE AMBULATORY SURGERY CENTER,49C0001030,1013914985,ROANOKE,VA,24016,0,,0,,0,,1.23,,73.81,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BLOOMFIELD SURGI CENTER LLC DBA AMBULATORY CENTER OF EXCELLENCE IN SURGERY,31C0001195,1013921964,BLOOMFIELD,NJ,7003,0,,0,,0,,1.887,,92,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTH ALABAMA OUTPATIENT SERVICES,01C0001037,1013924133,ENTERPRISE,AL,36330,0,,0,,0,,0,,61.29,,94.12,,82.05,,N/A,5,40,No Different than the National Rate,12.1,8.4,17.9,
MIAMI LAKES SURGERY CENTER LTD,10C0001487,1013947159,MIAMI LAKES,FL,33014,0,,0,,0,,2.611,,36.41,,95.24,,82.54,,N/A,5,41,No Different than the National Rate,12.5,8.6,18.5,
WOODLANDS ENDOSCOPY CENTR LTD,45C0001457,1013962380,SHENANDOAH,TX,77384,N/A,5,N/A,5,N/A,5,N/A,5,92.59,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BRISTOL SURGERY CENTER LLC,44C0001006,1013964063,BRISTOL,TN,37620,0,,0,,0,,0,,63.64,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLEVELAND CENTER FOR DIGESTIVE,36C0001034,1013967025,BEACHWOOD,OH,44122,0,,0,,0,,0,,47.06,,50.98,,100,,N/A,5,521,No Different than the National Rate,11,7.7,15.2,
OWENSBORO AMBULATORY SURGICAL FACILITY LTD,18C0001006,1013973825,OWENSBORO,KY,42303,0,,0,,0.439,,0.879,,63.16,,97.92,,100,,N/A,5,266,No Different than the National Rate,12.6,8.7,18.1,
AIRPORT ENDOSCOPY CENTER,05C0001514,1013980317,LOS ANGELES,CA,90045,0,,0,,0,,0,,65.71,,100,,100,,N/A,5,131,No Different than the National Rate,12.5,8.6,18,
MAYFAIR DIGESTIVE HEALTH CENTER LLC,52C0001053,1013984657,WAUWATOSA,WI,53226,0,,0,,0,,0,,94.44,,49.7,,73.12,,N/A,5,395,No Different than the National Rate,13.6,9.5,19.4,
POPP COSMETIC SURGERY PC,28C0001029,1013984665,OMAHA,NE,68164,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AUGUSTA PLASTIC SURGERY CENTER INC,11C0001090,1013990308,AUGUSTA,GA,30901,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
EYE SURGERY CENTER OF EAST TENNESSEE,44C0001064,1013997915,KNOXVILLE,TN,37909,0,,0,,0,,0,,80,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BLOOMINGTON SURGERY CENTER,15C0001024,1013999580,BLOOMINGTON,IN,47403,0,,0,,0,,0,,96.77,,N/A,5,N/A,5,99.97,,N/A,N/A,N/A,N/A,N/A,5
SOUTHERN ILLINOIS ORTHOPEDIC CENTERLLC,14C0001086,1023001377,HERRIN,IL,62948,0,,0,,0,,1.815,,53.85,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ROANOKE VALLEY CENTER FOR SIGHT LLC,49C0001021,1023005139,SALEM,VA,24153,0.489,,0,,0,,0.326,,53.85,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE GABLES SURGICAL CENTER,10C0001322,1023005600,MIAMI,FL,33134,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE ENDOSCOPY CENTER LLC,39C0001152,1023006079,SELLERSVILLE,PA,18960,0,,0,,0,,0,,78.79,,95.24,,93.65,,N/A,5,643,No Different than the National Rate,13.8,9.9,19.2,
BLUE RIDGE SURGICAL CENTER LLC,26C0001072,1023010311,KANSAS CITY,MO,64133,0,,0,,0,,0,,53.85,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TUCSON GASTROENTEROLOGY INSTITUTE LLC,03C0001240,1023015989,TUCSON,AZ,85712,0.709,,0,,0,,0,,32.14,,99.26,,93.62,,N/A,5,849,No Different than the National Rate,11.7,8.4,16.2,
BAYSIDE AMBULATORY CENTER LLC,10C0001415,1023036688,MIAMI,FL,33133,0,,0,,0,,0,,25.23,,75,,78.13,,N/A,5,251,No Different than the National Rate,11.2,7.8,15.8,
CAPE SURGERY CENTER LLC,44C0001157,1023039195,DYERSBURG,TN,38024,0,,0,,0,,0,,47.83,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BEVERLY HILLS ENDOSCOPY LLC,05C0001708,1023039682,BEVERLY HILLS,CA,90211,0,,0,,0,,0,,100,,N/A,1,100,,N/A,5,178,No Different than the National Rate,11.4,7.8,16.6,
AESTHETIC EYE ASSOCIATES PS,50C0001089,1023043445,KIRKLAND,WA,98033,0,,0,,0,,0,,81.48,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
INSTITUTO DE OJOS Y PIEL INC,40C0001012,1023052685,CAROLINA,PR,985,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ZION AMBULATORY CENTER LLC,21C0001426,1023055001,BALTIMORE,MD,21237,3.472,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GAILEY EYE SURGERY DECATUR LLC,14C0001130,1023056090,DECATUR,IL,62526,0,,0,,0,,0,,67.65,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PHYSICIANS DAY SURGERY CENTER,04C0001010,1023057916,PINE BLUFF,AR,71603,0,,0,,0,,0,,66.67,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTHWESTERN EYE CENTER LTD,03C0001047,1023063187,MESA,AZ,85213,N/A,5,N/A,5,N/A,5,N/A,5,48.08,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TOMS RIVER SURGERY CENTER LLC DBA TOMS RIVER SURGERY CENTER,31C0001153,1023070026,TOMS RIVER,NJ,8753,0,,0,,0,,0,,57.93,,46.48,,81.97,,N/A,5,83,No Different than the National Rate,11.7,8,16.9,
SAHARA OUTPATIENT SURGERY CENTER LTD,29C0001022,1023071180,LAS VEGAS,NV,89102,0,,0,,0,,0,,26.07,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MEDICAL PLAZA AMBULATORY SURGERY CENTER ASSOCIATES LP,45C0001157,1023071560,FORT WORTH,TX,76104,0,,0,,0,,0,,91.92,,75,,62.5,,N/A,5,218,No Different than the National Rate,12,8.3,17.3,
SOUTH JERSEY EYE PHYSICIANS PA,31C0001069,1023072824,MOORESTOWN,NJ,8057,0,,0,,0,,0,,88.24,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ARIZONA EYE INSTITUTE AND COSMETIC LASER CENTER,03C0001261,1023074291,SUN CITY WEST,AZ,85375,0,,0,,0,,1.066,,41.67,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WEB PROPERTIES INC,27C0001007,1023079860,BILLINGS,MT,59101,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PANAMA CITY SURGERY CENTER LLC,10C0001407,1023088473,PANAMA CITY,FL,32405,0.265,,0,,0,,0.53,,67.68,,100,,100,,N/A,5,285,No Different than the National Rate,11.9,8.2,16.9,
VISION CARE OF MAINEAROOSTOOK LLC,20C0001005,1023104825,PRESQUE ISLE,ME,4769,0,,0,,0,,0,,90.91,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGICAL CENTER OF CONNECTICUT LLC,07C0001029,1023113701,BRIDGEPORT,CT,6606,0,,0,,0,,0,,93.02,,97.1,,N/A,1,N/A,5,55,No Different than the National Rate,12,8.3,17.5,
MAIN LINE ENDOSCOPY CENTER WEST,39C0001137,1023115078,MALVERN,PA,19355,0,,0,,0,,0,,94.44,,95.56,,78.94,,N/A,5,1059,No Different than the National Rate,12.6,9.4,17.5,
RUSHLAND PARK SURGICENTER,45C0001183,1023122876,LUBBOCK,TX,79416,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ASSOCIATES SURGERY CENTERS LLC,39C0001236,1023123296,WEST MIFFLIN,PA,15122,0,,0,,0,,0,,80.7,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
LOCUST GROVE ENDO CENTER,11C0001296,1023134640,LOCUST GROVE,GA,30248,0,,0,,0,,0,,50,,N/A,5,N/A,5,N/A,5,230,No Different than the National Rate,12,8.2,17.6,
THOUSAND OAKS SURGERY CENTER LLC,05C0001921,1023159860,THOUSAND OAKS,CA,91320,0,,0,,0,,0,,59.26,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ALBANY SURGERY CENTER LLP,11C0001043,1023160553,ALBANY,GA,31701,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PENINSULA ENDOSCOPY CENTER LLC,21C0001433,1023162013,DELMAR,MD,21875,0,,0,,0,,0,,94.59,,39.41,,33.93,,N/A,5,814,No Different than the National Rate,12.5,8.9,17.7,
